2023-01-31_13:48:05; file; 54; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadInitializerWithUseInMultipleNestedBlocks.java
2023-01-31_13:48:05; file; 54; 0; lines; 25
2023-01-31_13:48:05; file; 54; 0; basename; DeadInitializerWithUseInMultipleNestedBlocks.java
2023-01-31_13:48:05; file; 54; 0; size; 781
2023-01-31_13:48:05; file; 54; 0; abort; 1_0
2023-01-31_13:48:05; file; 55; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadVariableWithMultipleDeadStores.java
2023-01-31_13:48:05; file; 55; 0; lines; 16
2023-01-31_13:48:05; file; 55; 0; basename; DeadVariableWithMultipleDeadStores.java
2023-01-31_13:48:05; file; 55; 0; size; 430
2023-01-31_13:48:05; file; 55; 0; abort; 1_0
2023-01-31_13:48:05; file; 56; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadStores.java
2023-01-31_13:48:05; file; 56; 0; lines; 14
2023-01-31_13:48:05; file; 56; 0; basename; DeadStores.java
2023-01-31_13:48:05; file; 56; 0; size; 247
2023-01-31_13:48:05; file; 56; 0; abort; 1_0
2023-01-31_13:48:05; file; 57; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/ShouldNotRemoveInvocations.java
2023-01-31_13:48:05; file; 57; 0; lines; 21
2023-01-31_13:48:05; file; 57; 0; basename; ShouldNotRemoveInvocations.java
2023-01-31_13:48:05; file; 57; 0; size; 472
2023-01-31_13:48:05; file; 57; 0; abort; 1_0
2023-01-31_13:48:05; file; 58; 0; filename; sorald/target/test-classes/processor_test_files/S1854_DeadStore/DeadInitializerInFlatBlock.java
2023-01-31_13:48:05; file; 58; 0; lines; 12
2023-01-31_13:48:05; file; 58; 0; basename; DeadInitializerInFlatBlock.java
2023-01-31_13:48:05; file; 58; 0; size; 289
2023-01-31_13:48:05; file; 58; 0; abort; 1_0
2023-01-31_13:48:05; file; 59; 0; filename; sorald/target/test-classes/processor_test_files/S1217_ThreadRun/ThreadRunInvocation.java
2023-01-31_13:48:05; file; 59; 0; lines; 15
2023-01-31_13:48:05; file; 59; 0; basename; ThreadRunInvocation.java
2023-01-31_13:48:05; file; 59; 0; size; 300
2023-01-31_13:48:05; file; 59; 0; abort; 1_0
2023-01-31_13:48:05; file; 60; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/CatchBlockWithBreak.java
2023-01-31_13:48:05; file; 60; 0; lines; 11
2023-01-31_13:48:05; file; 60; 0; basename; CatchBlockWithBreak.java
2023-01-31_13:48:05; file; 60; 0; size; 255
2023-01-31_13:48:05; file; 60; 0; abort; 1_0
2023-01-31_13:48:05; file; 61; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/CatchBlockWithContinue.java
2023-01-31_13:48:05; file; 61; 0; lines; 11
2023-01-31_13:48:05; file; 61; 0; basename; CatchBlockWithContinue.java
2023-01-31_13:48:05; file; 61; 0; size; 261
2023-01-31_13:48:05; file; 61; 0; abort; 1_0
2023-01-31_13:48:05; file; 62; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/CatchesWithNestedExits.java
2023-01-31_13:48:05; file; 62; 0; lines; 36
2023-01-31_13:48:05; file; 62; 0; basename; CatchesWithNestedExits.java
2023-01-31_13:48:05; file; 62; 0; size; 1123
2023-01-31_13:48:05; file; 62; 0; abort; 1_0
2023-01-31_13:48:05; file; 63; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/CatchMultipleTypes.java
2023-01-31_13:48:05; file; 63; 0; lines; 21
2023-01-31_13:48:05; file; 63; 0; basename; CatchMultipleTypes.java
2023-01-31_13:48:05; file; 63; 0; size; 633
2023-01-31_13:48:05; file; 63; 0; abort; 1_0
2023-01-31_13:48:05; file; 64; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/NOCOMPILE_RepairAndFieldTypePrint.java
2023-01-31_13:48:05; file; 64; 0; lines; 386
2023-01-31_13:48:05; file; 64; 0; basename; NOCOMPILE_RepairAndFieldTypePrint.java
2023-01-31_13:48:05; file; 64; 0; size; 17409
2023-01-31_13:48:05; file; 64; 0; abort; 1_0
2023-01-31_13:48:05; file; 65; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/InterruptedExceptionForTesting.java
2023-01-31_13:48:05; file; 65; 0; lines; 133
2023-01-31_13:48:05; file; 65; 0; basename; InterruptedExceptionForTesting.java
2023-01-31_13:48:05; file; 65; 0; size; 3054
2023-01-31_13:48:05; file; 65; 0; abort; 1_0
2023-01-31_13:48:05; file; 66; 0; filename; sorald/target/test-classes/processor_test_files/S2142_InterruptedException/NOCOMPILE_GenericException.java
2023-01-31_13:48:05; file; 66; 0; lines; 9
